subject,session,precue,amplitude,intercept,slope,phaset,freq,phaserad
8,1,2,0.0208602652976262,0.218110569811973,6.21721523033481e-05,-327.955645753997,2,0
8,2,2,0.0208602652976262,0.218110569811973,6.21721523033481e-05,-327.955645753997,2,0
9,1,1,0.0248474851594508,0.136124918025314,2.68929031724619e-07,408.920856510754,2,0
9,2,1,0.0248474851594508,0.136124918025314,2.68929031724619e-07,408.920856510754,2,0
9,1,2,0.0128460786990601,0.0931293140402656,2.11217747384715e-05,369.412715758648,2,0
9,2,2,0.0128460786990601,0.0931293140402656,2.11217747384715e-05,369.412715758648,2,0
10,1,1,0.0180613651165639,0.1376365209189,2.85291350038904e-07,-308.220739113278,2,0
10,2,1,0.0180613651165639,0.1376365209189,2.85291350038904e-07,-308.220739113278,2,0
10,1,2,0.0444074602873056,0.14799182922491,2.68752004340997e-09,-186.356120104938,2,0
10,2,2,0.0444074602873056,0.14799182922491,2.68752004340997e-09,-186.356120104938,2,0
11,1,1,0.0148451057853177,0.0154054168849436,9.15697130576587e-05,-15.2957178335082,2,0
11,2,1,0.0148451057853177,0.0154054168849436,9.15697130576587e-05,-15.2957178335082,2,0
11,1,2,0.0264537763012462,0.00126603769379429,7.99576884390067e-05,248.108106658152,2,0
11,2,2,0.0264537763012462,0.00126603769379429,7.99576884390067e-05,248.108106658152,2,0
12,1,1,0.0231834733226573,0.102601085724681,4.00105735454397e-05,-196.79604760077,2,0
12,2,1,0.0231834733226573,0.102601085724681,4.00105735454397e-05,-196.79604760077,2,0
12,1,2,0.010226328637202,0.127879527092197,3.77628000571956e-05,-328.161925027232,2,0
12,2,2,0.010226328637202,0.127879527092197,3.77628000571956e-05,-328.161925027232,2,0
13,1,1,0.00282159043670074,0.228188507715491,0.000130308226418118,449.554736283,2,0
13,2,1,0.00282159043670074,0.228188507715491,0.000130308226418118,449.554736283,2,0
13,1,2,0.0436545528467044,0.314525596943896,9.36822653872274e-05,349.517197318027,2,0
13,2,2,0.0436545528467044,0.314525596943896,9.36822653872274e-05,349.517197318027,2,0
